Station,Latitude,Longitude,Source,geometry,Region
101,37.5355,-122.16626666666667,Bay Study,"c(573659.525162899, 4154606.34385984)",Bay
102,37.5833,-122.2083,Bay Study,"c(569901.185561275, 4159877.49129359)",Bay
103,37.6033,-122.3028,Bay Study,"c(561540.956202945, 4162030.29635533)",Bay
104,37.6797,-122.2367,Bay Study,"c(567306.635517591, 4170552.08973559)",Bay
105,37.7195,-122.2708,Bay Study,"c(564265.338023066, 4174943.90757135)",Bay
106,37.702,-122.3667,Bay Study,"c(555826.580661247, 4172940.82724835)",Bay
107,37.605,-122.2858,Bay Study,"c(563040.109676281, 4162230.18434314)",Bay
108,37.6758,-122.3297,Bay Study,"c(559109.028696065, 4170056.67861678)",Bay
109,37.7392,-122.3533,Bay Study,"c(556979.326005125, 4177076.18456817)",Bay
110,37.788183333333336,-122.35618333333333,Bay Study,"c(556687.879150103, 4182509.10388524)",Bay
140,37.50185,-122.11618333333334,Bay Study,"c(578119.502988439, 4150913.40646971)",Bay
141,37.65,-122.26666666666667,Bay Study,"c(564689.954822792, 4167235.83540685)",Bay
142,37.761833333333335,-122.30533333333334,Bay Study,"c(561186.974418901, 4179617.62119401)",Bay
211,37.84473333333333,-122.38803333333334,Bay Study,"c(553842.377772624, 4188764.50529213)",Bay
212,37.8545,-122.3527,Bay Study,"c(556943.614044517, 4189869.0871574)",Bay
213,37.8325,-122.42716666666666,Bay Study,"c(550407.622972174, 4187385.37019473)",Bay
214,37.86566666666667,-122.40166666666667,Bay Study,"c(552627.986888026, 4191079.30338006)",Bay
215,37.888,-122.4242,Bay Study,"c(550630.701655775, 4193544.74648881)",Bay
216,37.9208,-122.4363,Bay Study,"c(549544.730454643, 4197177.46128426)",Bay
243,37.8842,-122.4012,Bay Study,"c(552655.839850784, 4193135.86256483)",Bay
244,37.9237,-122.468,Bay Study,"c(546756.69690486, 4197482.84815453)",Bay
306,38.000416666666666,-122.41488888846504,20mm,"c(551371.119853251, 4206022.74495239)",NA
308,38.0174444444312,-122.40438888894188,20mm,"c(552280.904104252, 4207917.88839422)",NA
311,38.02086111121707,-122.37741666687859,20mm,"c(554645.927438955, 4208312.48354865)",NA
315,38.03813888867696,-122.39361111111111,20mm,"c(553211.981603059, 4210220.13431617)",NA
317,37.989016666666664,-122.40903333333333,Bay Study,"c(551893.257075445, 4204761.12454766)",Bay
318,38.0213,-122.345,Bay Study,"c(557490.917960693, 4208380.72046652)",Bay
319,38.0403,-122.2855,Bay Study,"c(562697.241342764, 4210527.30761971)",Far West
320,38.062666666666665,-122.31716666666667,Bay Study,"c(559900.233906208, 4212988.11913265)",Far West
321,38.0662,-122.3675,Bay Study,"c(555482.125945948, 4213348.91165625)",Bay
322,38.053,-122.4138,Bay Study,"c(551429.948911035, 4211857.67766424)",Bay
323,38.0187,-122.43,Bay Study,"c(550031.967751843, 4208043.11256322)",Bay
324,37.9825,-122.412,Bay Study,"c(551637.316537951, 4204036.42950891)",Bay
