Sample Time, Facility, Species, Adipose Clip, Count Duration (minutes), Pumping Duration (minutes), Sample Fraction, Study Type, Length, nfish, Length Row ID,14-day OMRI
12/4/1993 8:00,SWP,Longfin Smelt,,30,180,0.17,Normal count,,,,
1/6/1994 5:00,SWP,Longfin Smelt,,30,120,0.25,Normal count,,,,
1/24/1994 1:00,SWP,Longfin Smelt,,30,120,0.25,Normal count,,,,
2/8/1994 1:00,SWP,Longfin Smelt,,10,120,0.08,Normal count,,,,
2/17/1994 0:00,SWP,Longfin Smelt,,30,180,0.17,Normal count,,,,
3/21/1994 2:00,CVP,Longfin Smelt,Unclipped,10,120,0.08,Normal count,53,1,766328,
3/29/1994 6:00,CVP,Longfin Smelt,Unclipped,10,120,0.08,Normal count,28,1,861748,
3/29/1994 6:00,CVP,Longfin Smelt,Unclipped,10,120,0.08,Normal count,29,1,258468,
4/4/1994 18:00,CVP,Longfin Smelt,Unclipped,120,120,1,Normal count,29,1,941974,
4/4/1994 18:00,CVP,Longfin Smelt,Unclipped,120,120,1,Normal count,30,1,460537,
4/4/1994 18:00,CVP,Longfin Smelt,Unclipped,120,120,1,Normal count,31,1,466086,
4/5/1994 7:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,25,1,1085660,
4/5/1994 7:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,32,1,105704,
4/5/1994 15:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,25,1,578424,
4/5/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,24,1,183203,
4/5/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,28,1,833407,
4/5/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,31,1,861720,
4/5/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,32,1,814956,
4/6/1994 9:00,SWP,Longfin Smelt,Unclipped,60,120,0.5,Normal count,30,1,274062,
4/6/1994 10:00,CVP,Longfin Smelt,,120,120,1,Normal count,,,,
4/6/1994 16:00,CVP,Longfin Smelt,,120,120,1,Normal count,,,,
4/7/1994 7:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,22,1,244428,
4/7/1994 7:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,29,1,468136,
4/8/1994 1:00,SWP,Longfin Smelt,,60,120,0.5,Normal count,,,,
4/8/1994 7:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,24,1,763877,
4/8/1994 7:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,27,1,334201,
4/8/1994 7:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,31,1,467724,
4/11/1994 0:00,CVP,Longfin Smelt,,10,120,0.08,Normal count,,,,
4/11/1994 7:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,27,1,38121,
4/13/1994 22:00,CVP,Longfin Smelt,,10,120,0.08,Normal count,,,,
4/13/1994 23:00,SWP,Longfin Smelt,,360,360,1,Normal count,,,,
4/14/1994 0:00,SWP,Longfin Smelt,Unclipped,420,420,1,Normal count,26,1,339555,
4/14/1994 0:00,SWP,Longfin Smelt,Unclipped,420,420,1,Normal count,30,1,857961,
4/15/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,20,1,44638,
4/15/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,25,1,146150,
4/15/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,32,1,266011,
4/17/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,29,1,1172423,
4/17/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,30,1,1162197,
4/17/1994 15:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,27,1,318705,
4/17/1994 17:00,SWP,Longfin Smelt,,120,120,1,Normal count,,,,
4/17/1994 23:00,SWP,Longfin Smelt,Unclipped,240,240,1,Normal count,20,1,251622,
4/17/1994 23:00,SWP,Longfin Smelt,Unclipped,240,240,1,Normal count,23,1,724136,
4/17/1994 23:00,SWP,Longfin Smelt,Unclipped,240,240,1,Normal count,25,1,178815,
4/17/1994 23:00,SWP,Longfin Smelt,Unclipped,240,240,1,Normal count,32,1,405443,
4/18/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,22,1,31056,
4/18/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,24,1,939209,
4/18/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,30,1,23596,
4/18/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,33,1,863181,
4/18/1994 13:00,SWP,Longfin Smelt,Unclipped,60,120,0.5,Normal count,31,1,716038,
4/18/1994 17:00,SWP,Longfin Smelt,,240,240,1,Normal count,,,,
4/18/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,20,1,104204,
4/18/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,23,3,958298,
4/18/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,25,1,230441,
4/18/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,27,2,373855,
4/18/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,28,2,31223,
4/18/1994 23:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,32,1,231544,
4/19/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,20,2,49735,
4/19/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,21,1,235810,
4/19/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,26,1,963127,
4/19/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,29,1,576504,
4/19/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,35,1,844276,
4/19/1994 10:00,CVP,Longfin Smelt,,10,120,0.08,Normal count,,,,
4/19/1994 15:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,22,1,152569,
4/19/1994 15:00,SWP,Longfin Smelt,Unclipped,360,360,1,Normal count,24,1,861137,
4/19/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,21,1,518894,
4/19/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,22,1,275884,
4/19/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,25,1,105197,
4/19/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,30,1,574483,
4/19/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,32,1,479893,
4/19/1994 23:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,36,1,548002,
4/20/1994 0:00,SWP,Longfin Smelt,Unclipped,180,180,1,Normal count,23,1,430756,
4/20/1994 0:00,SWP,Longfin Smelt,Unclipped,180,180,1,Normal count,26,1,456282,
4/20/1994 0:00,SWP,Longfin Smelt,Unclipped,180,180,1,Normal count,27,2,1055353,
4/20/1994 0:00,SWP,Longfin Smelt,Unclipped,180,180,1,Normal count,32,1,196212,
4/20/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,30,1,804583,
4/20/1994 7:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,34,1,530184,
4/20/1994 14:00,SWP,Longfin Smelt,Unclipped,420,420,1,Normal count,21,1,1065179,
4/20/1994 19:00,SWP,Longfin Smelt,,180,180,1,Normal count,,,,
4/20/1994 21:00,SWP,Longfin Smelt,,120,120,1,Normal count,,,,
4/21/1994 0:00,SWP,Longfin Smelt,Unclipped,300,300,1,Normal count,22,1,1070327,
4/21/1994 0:00,SWP,Longfin Smelt,Unclipped,300,300,1,Normal count,25,1,834801,
4/21/1994 0:00,SWP,Longfin Smelt,Unclipped,300,300,1,Normal count,34,1,28477,
4/21/1994 0:00,SWP,Longfin Smelt,Unclipped,300,300,1,Normal count,36,1,1089307,
4/21/1994 8:00,SWP,Longfin Smelt,Unclipped,480,480,1,Normal count,36,1,113471,
4/21/1994 15:00,SWP,Longfin Smelt,Unclipped,420,420,1,Normal count,26,1,541180,
4/21/1994 15:00,SWP,Longfin Smelt,Unclipped,420,420,1,Normal count,27,1,797133,
4/21/1994 15:00,SWP,Longfin Smelt,Unclipped,420,420,1,Normal count,39,1,1119943,
4/21/1994 19:00,SWP,Longfin Smelt,Unclipped,240,240,1,Normal count,20,1,824632,
4/21/1994 19:00,SWP,Longfin Smelt,Unclipped,240,240,1,Normal count,22,1,278463,
4/21/1994 19:00,SWP,Longfin Smelt,Unclipped,240,240,1,Normal count,25,1,111746,
4/21/1994 19:00,SWP,Longfin Smelt,Unclipped,240,240,1,Normal count,31,1,20685,
